message_id,timestamp,sender,fwd,reply,content
2,18.02.2021 13:10:43,Āgenskalna klīnika,,,"Zinātnieki un juristi visā pasaulē strādā un pēta situāciju ar un ap Covid. Un tā nemaz nav tik viennozīmīga, kā mums mēģina pasniegt. Un liels, ļoti liels jautājums ir par ierobežojumiem un to efektivitāti. Skatieties rīt konferenci, kurā piedalīsies zinātnieki, ārsti, juristi un runās par pandēmiju, ja tāda vispār pastāv, ierobežojumiem - to tiesiskumu un efektivitāti. Sīkāk par konferenci un reģistrācija tai šeit: https://www.lifesitenews.com/unmasking-vaccines/?utm_source=rumbletrailer"
3,18.02.2021 13:10:43,Āgenskalna klīnika,,,"Kā arī, protams, par vakcīnām. Skatāmies un baudām."
4,19.02.2021 00:01:13,Āgenskalna klīnika,,,"Sabiedrībā nepārtraukti cirkulē bažas par to kā izvairīties no vakcinācijas. bažas par to vai vakcinācija pret Covid būs piespiedu kārtā, jeb nē. Jeb būs, kā padomju laikā, piespiedu brīvprātīgi. Kā labi zināms, nav dūmu bez uguns. Un zināms pamats šīm bažām, protams ir. Paklausoties valdības lemtajā un dažādu amatpersonu izteikumos, nav īstas drošības sajūtas, ka nebūs mēģinājumi piespiest vakcinēties tos, kas to nevēlas darīt. Līdzīgi kā ir Izraēlā, kur nupat atvēra veikalus, bārus, restorānus un citas publiskas vietas, bet tikai tiem, kas ir vakcinējušies. Uz pārējiem attiecas visi stingrie ierobežojumi. Faktiski demokrātiskā valstī šāda situācija ir nepieļaujama. Nepieļaujama jau pati par sevi, kur nu vēl ņemot vērā, ka šī konkrētā ir eksperimentāla vakcīna, no kuras blaknēm ir norobežojušies pat tās ražotāji. Un par kuras sekām neviens neuzņemas atbildību. Iespējams, minēto iemeslu dēļ, Eiropas savienības parlamentāra asambleja, ir deklarējusi, ka nedrīkst uzspiest vakcināciju pret Covid 19, to nedrīkst darīt arī slēptā formā. Te lūk raksts: https://www.europereloaded.com/council-of-europe-decrees-vaccines-must-not-be-mandatory-and-the-non-vaccinated-must-not-be-discriminated-against/ Kopā mēs varam!!! /Dr. E. Mednis/"
5,19.02.2021 22:58:32,Āgenskalna klīnika,,,"Man nupat bija iespēja pārliecināties par cenzūru Facebook. manu iepriekšējo ierakstu par to, ka vakcinācija nedrīkst būt piespiedu Facebook bloķēja - šī informācija vienkārši neparādījās mūsu Facebook lapā un cilvēki to nevarēja redzēt.  Tā lūk. laipni lūgti demokrātiskajā pasaulē un tās jaunajā realitātē. Bet Kopā mēs varam!!! /Dr. E.Mednis/ #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem"
7,20.02.2021 22:43:50,Āgenskalna klīnika,,,Šeit interesants uzsaukums no Pasaules Ārstu alianses. Esam vienoti. Kopā mēs varam!!! /Dr. E.Mednis/ #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem
8,20.02.2021 22:43:50,Āgenskalna klīnika,,,
9,20.02.2021 22:44:35,Āgenskalna klīnika,,,
10,21.02.2021 12:19:21,Āgenskalna klīnika,,,"Šobrīd ļoti daudz šķēpu tiek lauzti saistībā ar kovid ārstēšanu, profilaksi, ierobežojumiem. Kā vienmēr, cik cilvēku, tik viedokļu. Manuprāt veiksmes atslēga vienmēr ir meklējama savstarpējā cieņā, mīlestībā un  viedokļu dažādībā. Manuprāt daudz veiksmīgāka būtu gan pacientu ārstēšana (ne tikai ar šo šobrīd populāro diagnozi), gan arī profilakses pasākumi, ja būtu savstarpēja komunikācija starp pusēm. Ja valdība varētu/gribētu dzirdēt arī alternatīvos viedokļus. Ja slimnīcu kolēģi, kas strādā vaiga sviedros, lai palīdzēt saviem pacientiem, aicinātu palīgā savus kolēģus, kas pārstāv alternatīvās medicīnas nozari un ne tikai. Bet tie laikam sapņi. Jo katram no mums ir savs skatījums uz problēmu un tikai diskusijās un savstarpējā cieņpilnā viedokļu apmaiņā mēs varam pakāpties kādu pakāpienu augstāk. Tā mēs varam apgūt līdz šim nezināmo. Par šo visu un vēl daudz ko citu, kā kovid pacientu ārstēšanu un vakcināciju runā Maskavas profesors Vorobjovs ar 40 gadu pieredzi medicīnā. Viņš ir gadu desmitiem ārstējis arī černobiliešus un citus smagus pacientus. Vērts paklausīties un aizdomāties. Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem https://www.youtube.com/watch?v=oeAj_nTAsuI&feature=youtu.be"
11,22.02.2021 12:12:04,Āgenskalna klīnika,,,"Gribēju uzrakstīt par mūsu katra personīgo atbildību pandēmijas turpināšanā un uzturēšanā. Nu jau visiem (gandrīz visiem) ir skaidrs, ka nav jau nekādas pandēmijas. Ir tikai skaitļi, kas tiek radīti, lai uzturētu mītu par pandēmiju. Mirstība visā pasaulē NAV paaugstinājusies, saslimstība arī. Ir daudz vairāk ielaistu slimību - laicīgi nediagnosticētu un neārstētu. Ir daudz vairāk depresiju, pašnāvību, pārbijušos cilvēku. Būs (jau ir) ļoti daudz ciešanu vakcīnu blakņu dēļ. Kas to visu rada? Kas to uztur? Kas pieļauj? Rada, iespējams, kāds cilvēku grupējums jeb grupa, kuri gūst, iespējams, labumu no šī visa. Uzturam un pieļaujam mēs. Tie, kas klusē, tie, kas neko nedara, lai šis viss ārprāts beigtos, kas veido vajadzīgo statistiku, kas ""griež"" PCR testa ciklus uz nebēdu (40 un vairāk), kas dod rīkojumus, kas uzliek dažādus vairāk vai mazāk absurdus ierobežojumus. Šie visi ir atbildīgi par šī ārprāta stāvokļa turpināšanos. Es šeit neaģitēju uz nepakļaušanos, uz valdības rīkojumu un noteikumu nepildīšanu. Ja noteikumi ir, tie ir jāpilda. Bet iedomājieties uz brīdi situāciju, ja mēs visi vienā dienā novilktu maskas un teiktu: pietiek. Ja restorānu un bāru īpašnieki teiktu : pietiek un atvērtu savu uzņēmumu durvis. ja kosmetologi un frizieri vienā dienā teiktu: pietiek un atvērtu savus kabinetus? Kas notiktu? Nekas. Pandēmija tajā dienā beigtos. Jo terorizēt sabiedrību var tad, ja tā ir sašķelta. Ja katrs mēs esam pats par sevi, iebaidīti, kūtri, neizlēmīgi, nespējīgi paši par sevi pastāvēt. Tad ar mums var manipulēt. Jā, tieši tā - manipulēt.  Jo kā gan citādi var nosaukt šo visu ārprātu, kas notiek? Komandantstundu ieviesa, kas ""saslimstība"" bija 400-500 gadījumu dienā, atcēla, kad bija 700-800 ar teikumu - atvainojiet, nokļūdījāmies. Tāpat veikalus slēdza rudenī, tagad vērs vaļā. Kas ir mainījies pēc būtības? Pilnīgi nekas. ""Saslimstība"" tāda pat vien ir. Grāmatas aizliedza tirgot, tad atļāva. Kas mainījās? Nekas. Pilnīgi nekas. Kurš ir par šo visu atbildīgs? valdība? Jā, protams. Mēs katrs? Jā, protams. Tādēļ domājam. Atveram acis. Un vēlreiz domājam. Tad izdarām secinājumus un rīkojamies. Darām katrs to, kas ir mūsu spēkos, lai palīdzētu sev, valdībai, tautai, pasaulei šo visu izbeigt. Tālāk vairs nav kur iet. Bez mūsu katra līdzdalības tas viss nebeigsies. No bērnības atmiņā palicis pantiņš: ""Katram ir roka jāpieliek, lai lielais darbs uz priekšu iet"". Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem"
12,25.02.2021 11:34:29,Āgenskalna klīnika,,,
