lemma,count,freq,freq_per_1000
mēs,1813,0.03548084073740655,35.481
varēt,741,0.014501546048769033,14.502
dr,642,0.012564092528083291,12.564
kopā,615,0.012035696113350817,12.036
mednis,590,0.01154644017378371,11.546
kopamesvars,560,0.010959333046303182,10.959
dzivebezbaile,560,0.010959333046303182,10.959
agenskalnaklinika,559,0.010939762808720497,10.94
izglabdraugs,499,0.009765548553759443,9.766
sava,486,0.009511135465184548,9.511
es,451,0.008826177149790598,8.826
cilvēks,425,0.008317350972640808,8.317
sargiberns,359,0.007025715292183647,7.026
bērns,317,0.006203765313710909,6.204
laiks,297,0.005812360562057224,5.812
darīt,284,0.005557947473482328,5.558
daudz,268,0.00524482367215938,5.245
gribusportot,266,0.005205683196994011,5.206
pats,252,0.004931699870836432,4.932
būt,232,0.004540295119182747,4.54
ārsts,231,0.004520724881600062,4.521
viens,223,0.004364162980938589,4.364
ļoti,222,0.004344592743355904,4.345
viņš,218,0.004266311793025167,4.266
jūs,218,0.004266311793025167,4.266
vakcīna,211,0.004129320129946377,4.129
valsts,196,0.0038357665662061137,3.836
veselība,195,0.0038161963286234297,3.816
zināt,178,0.0034835022897177974,3.484
tauta,174,0.00340522133938706,3.405
vakcinācija,172,0.0033660808642216916,3.366
savs,172,0.0033660808642216916,3.366
domāt,171,0.003346510626639007,3.347
gads,169,0.0033073701514736388,3.307
iespējams,166,0.0032486594387255863,3.249
labs,161,0.003150808250812165,3.151
jautājums,160,0.0031312380132294806,3.131
cits,156,0.0030529570628987437,3.053
pasaule,144,0.0028181142119065327,2.818
šobrīd,141,0.00275940349915848,2.759
interesants,133,0.0026028415984970057,2.603
ziņa,132,0.0025832713609143217,2.583
jauns,127,0.0024854201730009004,2.485
pacients,125,0.0024462796978355315,2.446
latvija,124,0.0024267094602528475,2.427
liels,119,0.0023288582723394262,2.329
runāt,117,0.002289717797174058,2.29
tas,117,0.002289717797174058,2.29
tagad,115,0.0022505773220086894,2.251
sevis,113,0.0022114368468433205,2.211
darbs,113,0.0022114368468433205,2.211
injekcija,110,0.002152726134095268,2.153
labi,104,0.0020353047085991624,2.035
tāpat,102,0.001996164233433794,1.996
te,98,0.0019178832831030568,1.918
gadījums,96,0.0018787428079376884,1.879
redzēt,94,0.0018396023327723198,1.84
interesanti,94,0.0018396023327723198,1.84
medicīna,93,0.0018200320951896355,1.82
lieta,91,0.0017808916200242671,1.781
mirt,91,0.0017808916200242671,1.781
teikt,89,0.0017417511448588987,1.742
viedoklis,88,0.0017221809072762142,1.722
iet,86,0.0016830404321108458,1.683
dzīve,86,0.0016830404321108458,1.683
protams,85,0.0016634701945281616,1.663
informācija,83,0.0016243297193627932,1.624
visa,82,0.0016047594817801087,1.605
kungs,81,0.0015851892441974245,1.585
vara,81,0.0015851892441974245,1.585
iespēja,80,0.0015656190066147403,1.566
palikt,80,0.0015656190066147403,1.566
brīvība,80,0.0015656190066147403,1.566
viss,79,0.001546048769032056,1.546
matvija,79,0.001546048769032056,1.546
sākt,79,0.001546048769032056,1.546
vairs,78,0.0015264785314493719,1.526
saukt,78,0.0015264785314493719,1.526
valdība,77,0.0015069082938666874,1.507
sistēma,77,0.0015069082938666874,1.507
tiesība,76,0.0014873380562840032,1.487
saruna,75,0.001467767818701319,1.468
vīruss,75,0.001467767818701319,1.468
kāds,74,0.0014481975811186348,1.448
puse,73,0.0014286273435359506,1.429
dzīvot,72,0.0014090571059532664,1.409
cita,71,0.001389486868370582,1.389
divi,70,0.0013699166307878977,1.37
vārds,70,0.0013699166307878977,1.37
kopamesdars,70,0.0013699166307878977,1.37
gribēt,69,0.0013503463932052135,1.35
uzvarēt,69,0.0013503463932052135,1.35
lēmums,69,0.0013503463932052135,1.35
vecāks,69,0.0013503463932052135,1.35
rakstīt,68,0.0013307761556225293,1.331
ģimene,67,0.001311205918039845,1.311
vienkārši,66,0.0012916356804571608,1.292
diena,66,0.0012916356804571608,1.292
ārstniecība,66,0.0012916356804571608,1.292
palīdzēt,65,0.0012720654428744764,1.272
izrādīties,65,0.0012720654428744764,1.272
dažāds,64,0.0012524952052917922,1.252
katrs,64,0.0012524952052917922,1.252
kāda,64,0.0012524952052917922,1.252
sabiedrība,63,0.001232924967709108,1.233
pēdējais,63,0.001232924967709108,1.233
saņemt,63,0.001232924967709108,1.233
maska,62,0.0012133547301264238,1.213
saprast,62,0.0012133547301264238,1.213
šķist,62,0.0012133547301264238,1.213
vēlēties,62,0.0012133547301264238,1.213
turpināt,62,0.0012133547301264238,1.213
piedalīties,61,0.0011937844925437396,1.194
minēt,61,0.0011937844925437396,1.194
spēks,60,0.0011742142549610551,1.174
tiesa,60,0.0011742142549610551,1.174
daudzi,60,0.0011742142549610551,1.174
likums,60,0.0011742142549610551,1.174
blakne,59,0.001154644017378371,1.155
persona,59,0.001154644017378371,1.155
sacīt,59,0.001154644017378371,1.155
tālu,58,0.0011350737797956867,1.135
situācija,57,0.0011155035422130025,1.116
atbildība,57,0.0011155035422130025,1.116
zinātne,57,0.0011155035422130025,1.116
vismaz,56,0.0010959333046303183,1.096
mērķis,56,0.0010959333046303183,1.096
kolēģis,55,0.001076363067047634,1.076
vieta,54,0.0010567928294649496,1.057
karš,54,0.0010567928294649496,1.057
faktiski,53,0.0010372225918822654,1.037
sakars,53,0.0010372225918822654,1.037
mēģināt,52,0.0010176523542995812,1.018
izdarīt,52,0.0010176523542995812,1.018
daļa,52,0.0010176523542995812,1.018
ticēt,52,0.0010176523542995812,1.018
pieņemt,51,0.000998082116716897,0.998
lasīt,51,0.000998082116716897,0.998
tiešām,51,0.000998082116716897,0.998
zāle,51,0.000998082116716897,0.998
vienmēr,50,0.0009785118791342127,0.979
tests,50,0.0009785118791342127,0.979
pavļuts,50,0.0009785118791342127,0.979
veids,50,0.0009785118791342127,0.979
ārstēšana,49,0.0009589416415515284,0.959
slimība,49,0.0009589416415515284,0.959
inspekcija,49,0.0009589416415515284,0.959
zeme,49,0.0009589416415515284,0.959
roka,48,0.0009393714039688442,0.939
īsti,48,0.0009393714039688442,0.939
šodien,48,0.0009393714039688442,0.939
vēsture,48,0.0009393714039688442,0.939
vēlēšanas,48,0.0009393714039688442,0.939
pirmais,48,0.0009393714039688442,0.939
edgars,48,0.0009393714039688442,0.939
radīt,47,0.0009198011663861599,0.92
acs,47,0.0009198011663861599,0.92
bailes,47,0.0009198011663861599,0.92
strādāt,46,0.0009002309288034757,0.9
sekas,46,0.0009002309288034757,0.9
mana,46,0.0009002309288034757,0.9
drīz,46,0.0009002309288034757,0.9
veikt,46,0.0009002309288034757,0.9
izskatīties,45,0.0008806606912207914,0.881
medicīnisks,45,0.0008806606912207914,0.881
vecs,45,0.0008806606912207914,0.881
atbilde,45,0.0008806606912207914,0.881
vajadzīgs,44,0.0008610904536381071,0.861
piedāvāt,44,0.0008610904536381071,0.861
gēns,44,0.0008610904536381071,0.861
medijs,44,0.0008610904536381071,0.861
stāsts,44,0.0008610904536381071,0.861
slimnīca,43,0.0008415202160554229,0.842
pieredze,43,0.0008415202160554229,0.842
kariņš,43,0.0008415202160554229,0.842
atkal,43,0.0008415202160554229,0.842
ministrs,43,0.0008415202160554229,0.842
darbība,43,0.0008415202160554229,0.842
iestāde,43,0.0008415202160554229,0.842
otrs,42,0.0008219499784727387,0.822
tāds,42,0.0008219499784727387,0.822
vesels,42,0.0008219499784727387,0.822
process,42,0.0008219499784727387,0.822
skaits,42,0.0008219499784727387,0.822
spēt,42,0.0008219499784727387,0.822
gaidīt,42,0.0008219499784727387,0.822
izdevums,42,0.0008219499784727387,0.822
kārtējs,41,0.0008023797408900544,0.802
cerēt,41,0.0008023797408900544,0.802
gals,41,0.0008023797408900544,0.802
skatīties,40,0.0007828095033073702,0.783
manuprāt,40,0.0007828095033073702,0.783
māja,40,0.0007828095033073702,0.783
režīms,40,0.0007828095033073702,0.783
pētījums,39,0.0007632392657246859,0.763
lietot,39,0.0007632392657246859,0.763
filmēšana,39,0.0007632392657246859,0.763
difterija,39,0.0007632392657246859,0.763
pilnīgi,38,0.0007436690281420016,0.744
atbalsts,38,0.0007436690281420016,0.744
visai,38,0.0007436690281420016,0.744
patiesība,38,0.0007436690281420016,0.744
bieži,38,0.0007436690281420016,0.744
padomāt,38,0.0007436690281420016,0.744
šprice,38,0.0007436690281420016,0.744
izvēle,38,0.0007436690281420016,0.744
eksperimentāls,37,0.0007240987905593174,0.724
video,37,0.0007240987905593174,0.724
deva,37,0.0007240987905593174,0.724
ierobežojums,36,0.0007045285529766332,0.705
aicināt,36,0.0007045285529766332,0.705
grupa,36,0.0007045285529766332,0.705
mainīties,36,0.0007045285529766332,0.705
piemērs,36,0.0007045285529766332,0.705
atbildēt,36,0.0007045285529766332,0.705
reize,36,0.0007045285529766332,0.705
prāts,36,0.0007045285529766332,0.705
iemesls,35,0.0006849583153939489,0.685
pasākums,35,0.0006849583153939489,0.685
komentārs,35,0.0006849583153939489,0.685
obligāts,35,0.0006849583153939489,0.685
ētika,35,0.0006849583153939489,0.685
priekša,34,0.0006653880778112646,0.665
vienīgi,34,0.0006653880778112646,0.665
patiess,34,0.0006653880778112646,0.665
palīdzība,34,0.0006653880778112646,0.665
drošs,34,0.0006653880778112646,0.665
ilgi,34,0.0006653880778112646,0.665
galvenais,34,0.0006653880778112646,0.665
drošība,33,0.0006458178402285804,0.646
raksts,33,0.0006458178402285804,0.646
skaidrs,33,0.0006458178402285804,0.646
veidot,33,0.0006458178402285804,0.646
brīdis,33,0.0006458178402285804,0.646
efektīvs,33,0.0006458178402285804,0.646
interese,33,0.0006458178402285804,0.646
augsts,33,0.0006458178402285804,0.646
vakcinēt,33,0.0006458178402285804,0.646
pamats,32,0.0006262476026458961,0.626
būtība,32,0.0006262476026458961,0.626
rīkoties,32,0.0006262476026458961,0.626
mazs,32,0.0006262476026458961,0.626
paldies,32,0.0006262476026458961,0.626
likt,32,0.0006262476026458961,0.626
dati,32,0.0006262476026458961,0.626
ceļš,32,0.0006262476026458961,0.626
jebkurš,32,0.0006262476026458961,0.626
vajadzēt,32,0.0006262476026458961,0.626
organisms,32,0.0006262476026458961,0.626
beidzot,32,0.0006262476026458961,0.626
pierādīt,32,0.0006262476026458961,0.626
komisija,32,0.0006262476026458961,0.626
jurists,31,0.0006066773650632119,0.607
sajūta,31,0.0006066773650632119,0.607
vakcinēties,31,0.0006066773650632119,0.607
dzirdēt,31,0.0006066773650632119,0.607
beigties,31,0.0006066773650632119,0.607
dot,31,0.0006066773650632119,0.607
tieši,31,0.0006066773650632119,0.607
fakts,31,0.0006066773650632119,0.607
metode,31,0.0006066773650632119,0.607
pavisam,31,0.0006066773650632119,0.607
inde,31,0.0006066773650632119,0.607
gaisma,31,0.0006066773650632119,0.607
ņemt,30,0.0005871071274805276,0.587
vajāšana,30,0.0005871071274805276,0.587
diezgan,30,0.0005871071274805276,0.587
pilns,30,0.0005871071274805276,0.587
brīvi,30,0.0005871071274805276,0.587
brīvs,30,0.0005871071274805276,0.587
teorija,30,0.0005871071274805276,0.587
meli,30,0.0005871071274805276,0.587
sanākt,30,0.0005871071274805276,0.587
šāda,29,0.0005675368898978433,0.568
realitāte,29,0.0005675368898978433,0.568
citādi,29,0.0005675368898978433,0.568
sirds,29,0.0005675368898978433,0.568
vairāki,29,0.0005675368898978433,0.568
aprūpe,29,0.0005675368898978433,0.568
pandēmija,28,0.0005479666523151591,0.548
piespiedu,28,0.0005479666523151591,0.548
covidud<sos>,28,0.0005479666523151591,0.548
vērts,28,0.0005479666523151591,0.548
blaknis,28,0.0005479666523151591,0.548
