message_id,timestamp,sender,fwd,reply,content
4,19.02.2021 00:01:13,Āgenskalna klīnika,,,"Sabiedrībā nepārtraukti cirkulē bažas par to kā izvairīties no vakcinācijas. bažas par to vai vakcinācija pret Covid būs piespiedu kārtā, jeb nē. Jeb būs, kā padomju laikā, piespiedu brīvprātīgi. Kā labi zināms, nav dūmu bez uguns. Un zināms pamats šīm bažām, protams ir. Paklausoties valdības lemtajā un dažādu amatpersonu izteikumos, nav īstas drošības sajūtas, ka nebūs mēģinājumi piespiest vakcinēties tos, kas to nevēlas darīt. Līdzīgi kā ir Izraēlā, kur nupat atvēra veikalus, bārus, restorānus un citas publiskas vietas, bet tikai tiem, kas ir vakcinējušies. Uz pārējiem attiecas visi stingrie ierobežojumi. Faktiski demokrātiskā valstī šāda situācija ir nepieļaujama. Nepieļaujama jau pati par sevi, kur nu vēl ņemot vērā, ka šī konkrētā ir eksperimentāla vakcīna, no kuras blaknēm ir norobežojušies pat tās ražotāji. Un par kuras sekām neviens neuzņemas atbildību. Iespējams, minēto iemeslu dēļ, Eiropas savienības parlamentāra asambleja, ir deklarējusi, ka nedrīkst uzspiest vakcināciju pret Covid 19, to nedrīkst darīt arī slēptā formā. Te lūk raksts: https://www.europereloaded.com/council-of-europe-decrees-vaccines-must-not-be-mandatory-and-the-non-vaccinated-must-not-be-discriminated-against/ Kopā mēs varam!!! /Dr. E. Mednis/"
5,19.02.2021 22:58:32,Āgenskalna klīnika,,,"Man nupat bija iespēja pārliecināties par cenzūru Facebook. manu iepriekšējo ierakstu par to, ka vakcinācija nedrīkst būt piespiedu Facebook bloķēja - šī informācija vienkārši neparādījās mūsu Facebook lapā un cilvēki to nevarēja redzēt.  Tā lūk. laipni lūgti demokrātiskajā pasaulē un tās jaunajā realitātē. Bet Kopā mēs varam!!! /Dr. E.Mednis/ #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem"
10,21.02.2021 12:19:21,Āgenskalna klīnika,,,"Šobrīd ļoti daudz šķēpu tiek lauzti saistībā ar kovid ārstēšanu, profilaksi, ierobežojumiem. Kā vienmēr, cik cilvēku, tik viedokļu. Manuprāt veiksmes atslēga vienmēr ir meklējama savstarpējā cieņā, mīlestībā un  viedokļu dažādībā. Manuprāt daudz veiksmīgāka būtu gan pacientu ārstēšana (ne tikai ar šo šobrīd populāro diagnozi), gan arī profilakses pasākumi, ja būtu savstarpēja komunikācija starp pusēm. Ja valdība varētu/gribētu dzirdēt arī alternatīvos viedokļus. Ja slimnīcu kolēģi, kas strādā vaiga sviedros, lai palīdzēt saviem pacientiem, aicinātu palīgā savus kolēģus, kas pārstāv alternatīvās medicīnas nozari un ne tikai. Bet tie laikam sapņi. Jo katram no mums ir savs skatījums uz problēmu un tikai diskusijās un savstarpējā cieņpilnā viedokļu apmaiņā mēs varam pakāpties kādu pakāpienu augstāk. Tā mēs varam apgūt līdz šim nezināmo. Par šo visu un vēl daudz ko citu, kā kovid pacientu ārstēšanu un vakcināciju runā Maskavas profesors Vorobjovs ar 40 gadu pieredzi medicīnā. Viņš ir gadu desmitiem ārstējis arī černobiliešus un citus smagus pacientus. Vērts paklausīties un aizdomāties. Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem https://www.youtube.com/watch?v=oeAj_nTAsuI&feature=youtu.be"
35,09.03.2021 11:32:16,Āgenskalna klīnika,,,"Šeit ir blakņu apkopojums Apvienotajā Karalistē no Pfizer vakcīnas, kas ir populāra arī pie mums. Blakņu sarakstā, daudz vēdera problēmu virs 100 nāves gadījumu , aklums un citi jaukumi. Laipni lūgti uz vakcinācijas kabinetu, mīļie izmēģinājuma trusīši.  Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem"
44,12.03.2021 15:44:24,Āgenskalna klīnika,,,"Šeit ir, manuprāt, ļoti lietderīga iniciatīva - portālā manabalss.lv ir iespēja parakstīties par jaunizveidotā Vakcinācijas biroja likvidāciju. Interesantākais ir fakts, ka vienas dienas laikā jau šī iniciatīva ir savākusi ap 10 000 balsu. Cilvēki nav vienaldzīgi un viņiem rūp tautas veselība un valsts labklājība. Parakstīties var šeit: https://manabalss.lv/par-vakcinacijas-biroja-likvidesanu/show  Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem"
50,15.03.2021 12:10:34,Āgenskalna klīnika,,,"Vakcinācija pret Covid, laikam ejot, izraisa ar vien vairāk jautājumu. Ar vien vairāk šaubu par to patieso mērķi. Ar vien vairāk šaubu par to drošību un nepieciešamību. Šīs visas šaubas pastiprina valdības aktīvā (pārlieku aktīvā) rīcība minēto vakcīnu piedāvāšanai (uzspiešanai) sabiedrībai. Tas ir zināms fizikas likums, jo lielāks spēks darbojas uz virsmu, jo lielāks spēks darbojas pretim. Arī dzīvē šis likums darbojas perfekti. Jo vairāk mūs spiež vakcinēties, jo vairāk mēs mēģināsim no tā izvairīties un jo vairāk cilvēku mēģinās izvairīties - atrast tādus vai citādus ceļus, lai nesaņemtu sev pienākošās indes devu. Un nesauciet mani par antivakseri vai zinātnes noliedzēju. Šeit nav zinātnes. Šeit ir tukša propaganda un biznesa intereses un arī vara ambīcijas. Nekādas zinātnes šeit nav un nekad nav bijis. Ne saistībā ar pašu vīrusu, ne arī vakcīnām pret šo vīrusu. Tie, kas mēģina iebilst un rakstīt skarbos komentārus, varbūt izslēdziet uz nedēļu televizorus un radio, neskatieties un nelasiet ziņas. Neko svarīgu jūs garām nepalaidīsiet. Bet atveriet acis un paskatieties apkārt. Pasaule izskatīsies pavisam savādāka. Un mazāk baisa. Un arī nāvējošais vīruss, iespējams būs pazudis no jūsu mājas un pagalma. Šeit vēlējos padalīties ar savu kolēģu rakstīto - daudzi jautājumi par vakcīnām - Eiropas ārstu un zinātnieku atklāta vēstule Eiropas zāļu aģentūrai. Izlasiet. Ar visām atsaucēm. Nopietnām atsaucēm. Un zinātniski.🙂 Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem https://doctors4covidethics.medium.com/urgent-open-letter-from-doctors-and-scientists-to-the-european-medicines-agency-regarding-covid-19-f6e17c311595"
74,31.03.2021 14:16:07,Āgenskalna klīnika,,,"Pieņemoties spēkā vakcinācijas propagandai mums katram ir jāspēj pieņemt savs un pamatots lēmums vakcinācijas sakarā. Mums ir jānoformulē sava attieksme - vai mēs katrs personīgi vēlamies piedalīties medicīniskā eksperimentā brīvprātīgi un bez samaksas. Un jāspēj sakārtot savas prioritātes - salikt savas vēlmes prioritārā secībā. man personīgi pirmajā vietā ir sava veselība. Jo, ja es nebūšu vesels, tad es nevarēšu palīdzēt citiem. Es nebūšu spējīgs dot citiem. Lai kā man gribētos ceļot un baudīt ārzemju jaukumus, kalnus, sauli, sniegu kalnos un citas burvīgas lietas, es esmu gatavs paciesties, līdz es varēšu ceļot brīvi, bez testiem, bez vakcīnām, bez kaut kādām koncentrācijas nometnes izziņām(zaļajām pasēm) un citām cilvēku brīvību ierobežojošām lietām. Un tas viss tādēļ, kas ES ESMU VESELS un VĒLOS BŪT VESELS.Šajā sakarā pievienoju ebreju rabīna  Chananya Weissman uzrakstīto 31 punktu kādēļ viņš nevakcinēsies. Es viņam pievienojos par visiem 100%:1. It’s not a vaccine. A vaccine by definition provides immunity to a disease. This does not provide immunity to anything. In a best-case scenario, it merely reduces the chance of getting a severe case of a virus if one catches it. Hence, it is a medical treatment, not a vaccine. I do not want to take a medical treatment for an illness I do not have.2. The drug companies, politicians, medical establishment, and media have joined forces to universally refer to this as a vaccine when it is not one, with the intention of manipulating people into feeling safer about undergoing a medical treatment. Because they are being deceitful, I do not trust them, and want nothing to do with their medical treatment.3. The presumed benefits of this medical treatment are minimal and would not last long in any case. The establishment acknowledges this, and is already talking about additional shots and ever-increasing numbers of new “vaccines” that would be required on a regular basis. I refuse to turn myself into a chronic patient who receives injections of new pharmaceutical products on a regular basis simply to reduce my chances of getting a severe case of a virus that these injections do not even prevent.4. I can reduce my chances of getting a severe case of a virus by strengthening my immune system naturally. In the event I catch a virus, there are vitamins and well-established drugs that have had wonderful results in warding off the illness, without the risks and unknowns of this medical treatment.5. The establishment insists that this medical treatment is safe. They cannot possibly know this because the long-term effects are entirely unknown, and will not be known for many years. They may speculate that it is safe, but it is disingenuous for them to make such a claim that cannot possibly be known. Because they are being disingenuous, I do not trust them, and I want no part of their treatment.6. The drug companies have zero liability if anything goes wrong, and cannot be sued. Same for the politicians who are pushing this treatment. I will not inject myself with a new, experimental medical device when the people behind it accept no liability or responsibility if something goes wrong. I will not risk my health and my life when they refuse to risk anything.7. Israel’s Prime Minister has openly admitted that the Israeli people are the world’s laboratory for this experimental treatment. I am not interested in being a guinea pig or donating my body to science.8. Israel agreed to share medical data of its citizens with a foreign drug company as a fundamental part of their agreement to receive this treatment.I never consented for my personal medical data to be shared with any such entity, nor was I even asked. I will not contribute to this sleazy enterprise."
87,04.04.2021 12:58:11,Āgenskalna klīnika,,,"Šeit ļoti ilustratīvs piemērs manis iepriekš rakstītajam. vakcīnas NAV drošas. Tās NAV izpētītas. Un cilvēki mirst no tām. Neatkarīgi no ticības tām, ādas krāsas, reliģiskās piederības un vecuma (šajā gadījumā jaunības). Padomājiet PIRMS vakcinācijas. Palūdziet savu ģimenes ārstu, vai jebkuru citu personu, kura Jums piedāvā vakcinēties, Jums izsniegt uz rokas vakcīnas anotāciju. Un pajautājiet vai pētījumi uz dzīvniekiem ir bijuši un kad beigsies trešās fāzes pētījumi konkrētajai vakcīnai. Domājiet PIRMS!!!Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem"
92,08.04.2021 12:02:32,Āgenskalna klīnika,,,"Ļoti labu ierakstu FB un Telegram platformā ir ierakstījusi Marika Zelča Čerāne par Covid vakcīnu virzīšanu tirgū un mēģinājumiem uzspiest tās tautai. Informācijas telpa nav vēl slēgta, līdz ar to ziņas ātri izplatās visā pasaulē.  Arvien vairāk nākas dzirdēt gadījumus, kad kāds ir miris īsā laikā pēc vakcinācijas ar kādu no jaunajām mRNA vakcīnām. Visiem, kas vakcinējas būtu jāsaprot tas, ka viņi piedalās klīniskā eksperimentā ar cilvēkiem.  Un neviens nesegs iespējamos zaudējumus. Neviens negarantē vakcīnu drošību. Tā teikt slīcēju glābšana ir pašu slīcēju rokās - pats ej vakcinēties, pats arī atbildi par sekām. Un tādas ir. Un ir nopietnas. Tikko Latviju pāršalca ziņa, ka neilgi pēc vakcīnas ir miris Prof. Riževs, psihiatrs. Kurš izmeklē šo nāves gadījumu? Kurš ir ieinteresēts atklāt patiesību no kā viņš ir miris? Tuvinieki. Bet vai kāds vēl? Vai Zāļu Valsta aģentūrai tas interesē? Vai Veselības ministram tas interesē? Vai premjeram tas interesē? Un vai viņi ir ko darījuši vai dara, lai to noskaidrotu? Nē. Viņi ir aizņemti ar vakcinācijas mārketinga kampaņu. Un ""dažas nāves"", kas ir mazsvarīgākas kā lielais mērķis (utopija) - lai no šī nieka vīrusa nemirtu cilvēki. Absurds. Kā zinām 2020.gadā mirstība Latvijā nav pieaugusi salīdzinājumā ar pēdējo vairāku gadu vidējo. Tad par kādu mērķi ir runa? Veselība? Muļķības. Tās iespējams ir absolūti savtīgas intereses - nauda un vara, kas pilnībā aizmiglo skatienu. Tādēļ joprojām uzskatu, ka vakcinācijas pret Covid 19 ir pāragra, kāmēr nav pabeigti pilnībā visi testi visās fāzēs. Un uzskatu, ka tā var novest pie lielas katastrofas tieši komplikāciju dēļ. jautājums ir tikai par to kāpēc pirmkārt ir jāiznīdē ārsti, medmāsiņas, glābēji, policisti un karavīri? Kādēļ šīs kategorijas mums nav svarīgas? Par to padomājiet. Un izdariet savus secinājumus.Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem"
104,14.04.2021 21:36:24,Āgenskalna klīnika,,,"Patiešām priecīga ziņa ir pienākusi no Austrijas - tur tiesa ir lēmusi, ka PCR testi, jeb tautā sauktie Kovid testi NAV derīgi šīs slimības diagnostikai un ierobežojumiem jeb lokdauniem nav nekāda juridiska pamatojuma. Re kā, taisnība tomēr uzvar. Jācer, ka arī mūsu valdībnieki ieklausīsies šajā vēstī un arī mums atcels visus nejēdzīgos ierobežojumus, kā masku obligāto nēsāšanu, piespiedu/ brīvprātīgo vakcināciju ar eksperimentālajām vakcīnām un citas iespējami noziedzīgas darbības, kam nav nekāda - ne medicīniska, ne juridiska pamatojuma. Pielikumā arī Vīnes tiesas spriedums uz 16 lapām. Angliski.Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem https://greatgameindia.com/austria-court-pcr-test/"
