id,timestamp,sender,reply_to,content
32,01.04.2021 16:48:47,User,24.0,Der! ✊
280,22.05.2021 12:45:53,User,276.0,"Covid-19-Impfung: Diese Einverständniserklärung wurde von einer Ärztin in der französischsprachigen Schweiz erstellt•  uncut-news.ch•  Mai 7, 2021Hallo,Hier geht es zum Original: Hier ist der Text, den ich heute Morgen von einem Internetnutzer erhalten habe, dem ich herzlich danke. Es handelt sich um einen Text, der von einer in der französischen in Schweiz tätigen Ärztin verfasst wurde, um ihre Patienten zu warnen, bevor sie sich gegen Covid-19 impfen lassen.Ihre informierte Zustimmung, bevor Sie den COVID-19 RNA-Impfstoff erhaltenEinige Wahrheiten, die Sie akzeptieren müssen, bevor ich Ihnen den Impfstoff injiziere:1.  Mir ist bekannt, dass ich einen experimentellen, völlig neuen Impfstoff mit neuartigen Inhaltsstoffen erhalte, der vor dem Sommer 2020 noch nie in großem Umfang verabreicht wurde.2.  Ich willige ein, an einem internationalen Experiment teilzunehmen, das von Pharmafirmen und Politikern durchgeführt wird, die keine Verantwortung für den verursachten Schaden übernehmen.3.  Ich erkläre mich damit einverstanden, meine persönlichen medizinischen Daten für einen Zeitraum von zwei Jahren im Rahmen dieser Studie der Nachzulassungsphase 3 und 4 zur Verfügung zu stellen.4.  Soweit ich weiß, befinden sich die Impfstoffe noch in der Erprobungsphase und es laufen klinische Studien der Phase 3, die voraussichtlich im Oktober 2022 für Moderna und im Januar 2023 für Pfizer-BioNTech Comirnaty abgeschlossen werden.5.  Ich bin mir bewusst, dass die endgültigen Ergebnisse zur Sicherheit und Wirksamkeit dieser experimentellen Impfstoffe zum jetzigen Zeitpunkt noch nicht bekannt sind.6.  Mir ist bewusst, dass es sich bei diesem experimentellen Impfstoff um ein 100%ig synthetisches Gentechnikprodukt handelt – es ist ein GMO, ein gentechnisch veränderter Organismus, der in meinen Körper injiziert wird.7.  Mir ist bekannt, dass dieser experimentelle Impfstoff möglicherweise : schützt mich nicht vor der Covid-19-Krankheit (würde möglicherweise nur vor schweren Formen schützen)die Übertragung von SARS-CoV-2 zu verhindern8.  Ich nehme zur Kenntnis, dass die Nutzen-Risiko-Analyse dieses Prüfimpfstoffs auf unbekannten und minimierten Risiken und überschätzten und angenommenen Vorteilen beruht. Mögliche Risiken sind Beeinträchtigung der Fruchtbarkeit, Blutungsstörungen und neurologische Störungen.9.  Ich akzeptiere das Missverständnis, dass menschlich zu sein bedeutet, immer ein potenzieller Kontaminant und ein Überträger von Krankheiten zu sein, eine Idee, die Angst auslösen soll.10.  Ich verstehe, dass ich mit der Impfung die Barrieremaßnahmen der sozialen Distanzierung, des Maskentragens, der PCR und der Quarantäne einhalten muss, wenn ich in Zukunft positiv getestet werde.11.  Ich erkenne an, dass bis heute Tausende von Todesfällen als Folge dieser experimentellen Impfkampagne gemeldet wurden, sowie Hunderttausende von Verletzungen durch neurologische Störungen, schwere Entzündungen und kardiovaskuläre Nebenwirkungen (Thrombose, Schlaganfall, Herzinfarkt)12.  Ich verstehe, dass die Covid-Krankheit nur für ältere und immungeschwächte Menschen ein hohes Risiko darstellt, und dass für mehr als 99,7 % der Bevölkerung der Tod kein Risiko ist: 99,7 % überleben!13.  Ich bin mir der Richtlinien und Vereinbarungen in der Schweiz bezüglich Entschädigung und Schadenersatz (maximal gezahlter Betrag = CHF 70’000) bewusst:Mir ist bekannt, dass es möglicherweise nicht möglich ist, den Hersteller dieser Injektion gegen Covid-19 zu verklagen, falls dieser für einen Gesundheitsschaden oder den Tod verantwortlich ist.14.  Ich habe die Liste der signifikanten unerwünschten Wirkungen, die im Zusammenhang mit Covid-19-Injektionen berichtet wurden, verstanden und gelesen.Bekannte Nebenwirkungen sind: Covid-19-Infektion, Anaphylaxie, neurologische Probleme, schwere Herz-Kreislauf-Störungen, Autoimmunerkrankungen, chronische Erkrankungen, Blindheit und Taubheit, Fruchtbarkeitsstörungen, fetale Schäden, Fehl- und Totgeburten und Tod."
281,22.05.2021 12:45:53,User,276.0,"15.  Ich bin darüber informiert, dass die statistische Wahrscheinlichkeit, an Covid-19 zu sterben, bei Jugendlichen (zwischen 0 und 19 Jahren) 0,003 %, bei 20- bis 49-Jährigen 0,02 %, bei Personen zwischen 50 und 69 Jahren 0,5 %, bei Senioren ab 70 Jahren 5,4 % beträgt, wenn sie unbehandelt sind (wie dringend empfohlen: „zu Hause bleiben!“)16.  Mir ist bewusst geworden, dass diese Covid-19-mRNA-Injektionen, obwohl sie als „Impfstoffe“ verkauft werden, experimentelle Gentherapien sind.Die Impfstoffhersteller bezeichnen den bisher nicht zugelassenen mRNA-Ansatz offiziell als „Programmierung der Zellen eines Individuums“ oder, in der Terminologie von Moderna, als den Einsatz einer neuen „Software“.In der Vergangenheit hat sich gezeigt, dass mRNA-Injektionen ein inhärentes entzündliches Element haben, was es schwierig macht, ein „akzeptables“ Nutzen/Risiko-Verhältnis zu bestimmen.17.  Als Versuchskaninchen bin ich mir darüber im Klaren, dass ich im Gegensatz zu anderen therapeutischen Arzneimittelstudien für diese Phase-3-Studie in der Allgemeinbevölkerung nicht vom Labor bezahlt/geteilt werde.Ich habe die obigen Informationen gelesen und verstanden, gebe meine informierte Zustimmung und erkläre mich damit einverstanden, freiwillig mit dem experimentellen Impfstoff von Moerna/Pfizer geimpft zu werden und entbinde meinen Arzt vollständig von jeglicher zivil- und strafrechtlichen Haftung in Bezug auf diese Injektion und ihre möglichen Folgen.Gesehen und akzeptiertUnterschrift des PatientenBitte teilen Sie diesen Artikel mit Ihren Freunden.Vielen Dank im Voraus für Ihre kurzen Kommentare (unter Ihrem Namen gesendet).Mit freundlichen Grüßen.QUELLE: COVID-19: CONSENTEMENT ÉCLAIRÉ PRÉPARÉ PAR UNE FEMME MÉDECIN DE SUISSE ROMANDE."
12251,27.09.2024 21:08:44,User,,"++ BREAKING ++LANCET BEWEIST: COVID IMPFUNG FÜHRT ZU HERZSCHÄDEN===========Für uns dürfte es nichts neues sein, aber für die Beweisführung extrem wichtig, da sie von der bekanntesten medizinischen Zeitschrift der Welt kommt.Die Studie untersuchte junge Menschen mit COVID-19-Impfstoff-assoziierter Myokarditis (C-VAM) und verglich sie mit 100 Fällen des multisystemischen Entzündungssyndroms bei Kindern (MIS-C). Die Mehrheit der C-VAM-Patienten war männlich und entwickelte nach der zweiten Impfdosis Symptome wie Brustschmerzen und erhöhte Troponinwerte.Obwohl die klinischen Symptome in den meisten Fällen mild waren und die Betroffenen schnell genesen, zeigte sich in 82 % der Fälle eine Herzschädigung durch „spätes Gadolinium-Enhancement“ (LGE) in der Magnetresonanztomografie (MRT).Diese Schäden bestanden in 60 % der Fälle auch nach einem halben Jahr fort.Einfacher Ausgedrückt. Die geimpften Jugendlichen, merken aktuell gar nichts, laufen jedoch mit einer tickenden Bombe am Herzen.QuelleMecit"
12676,02.10.2024 18:44:10,User,,❌🇪🇺 Ex-Präsident Václav Klaus: „Brüssels autoritäres Benehmen ist gegen uns alle“ Scharfe Kritik an der EU übte der tschechische Ex-Präsident Václav Klaus kürzlich am Bürgergipfel in Stuttgart. Er warnte vor einer immer autoritärer agierenden Europäischen Union. Exklusives Interview mit dem langjährigen Regierungschef.Folgen Sie AUF1 auf Telegram:
12689,02.10.2024 21:31:10,User,,Pathologe warnt: „mRNA-Technologie ist nicht ausreichend erprobt“ und beobachtet „neuen Typ Turbokrebs“. @Anons17
12807,03.10.2024 22:21:59,User,,"@unzensiert_infoseite Das ist Dr. Carrie Madej, die nach Tetanus-Toten forschte - gefunden hat sie weltweit nicht einen einzigen.Dr. Carrie Madej fand aber heraus, dass der Wirkstoff laut WHO, seit Anfang der 70er Jahre ein Abtreibungsmittel ist und mit jeder folgenden Spritze sich im Körper kumuliert, sodass der mütterlichen Körper frühzeitig beginnt den Fötus zu attackieren.Nicht eine, NICHT EINE EINZIGE Impfung ist hilfreich, sie wurden erfunden um Menschen mit Gift zu kontaminieren, um sie erkranken zu lassen, bis irgendwann der Tod eintritt. Dasselbe gilt bei Tieren !Sie haben schon immer versucht, die Menschheit zu vergiften, doch unser Immunsystem war zu stark, deshalb erfanden sie tödliche Viren, die als Vorwand dienten, um uns ihr Gift direkt in die Blutbahn spritzen zu können.@unzensiert / @unzensiertV2"
12937,05.10.2024 08:56:29,User,,"💢 Jede Impfung ist Schädlich und tötet langsam. 👉Das gilt auch für Tiere ❕Impfungen haben nie funktioniert und sind ausschließlich da, um zu schaden und die Pharma reich zu machen und Mensch und Tier zu schädigen und unendliches Leid zu verursachen! 👉 Dr. Jutta Ziegler & Dr. Dirk Schrader Die planmäßige Vergiftung unserer Haustiere  ❕Wahrheit ist unzerstörbar ❕"
12963,06.10.2024 14:50:19,User,,"‼️  🔥  💉  Geimpfte Kinder sterben 6-mal häufiger als Ungeimpfte""Die Entdeckung, dass die Zahl der Todesfälle bei Kindern zunimmt, blieb jedoch weitgehend unerwähnt, da sie erst ganz am Ende der Studie erwähnt wurde. Der Hinweis auf die Todesfälle bei geimpften Kindern in der Studie wurde von Alex Berenson hervorgehoben.Unter der Leitung von Professor Chiao-Yu Yang wurde die Studie von Forschern des taiwanesischen Instituts für öffentliche Gesundheit und des Chung Shan Medical University Hospital in Taichung City durchgeführt. Die Ergebnisse wurden im Springer Medical Journal veröffentlicht. Titel: „The association between COVID-19 vaccine/infection and new-onset asthma in children – based on the global TriNetX database“ (Der Zusammenhang zwischen COVID-19-Impfung/Infektion und neu auftretendem Asthma bei Kindern – auf der Grundlage der globalen TriNetX-Datenbank)...."""
13065,08.10.2024 12:32:40,User,,"Pfizer 💥 Vertrag-Leak: Der größte Skandal der MedizingeschichteUniversitätsdozent Dr. Hannes Strasser war Impfarzt! Er sitzt in der österr. Ärztekammer und hat sich den ungeschwärzten Vertrag genau angesehen:▪️ Dass die vorliegenden Verträge von der EU-Kommission und den Regierungen der EU-Mitgliedsstaaten unterschrieben wurden, ist für mich als Arzt unfassbar. Das ist meiner Meinung nach der größte Skandal in der Medizingeschichte. ▪️ Man muss sich das alles vorstellen: ein Impfstoff, dessen Wirksamkeit und Sicherheit nicht bekannt ist, dessen Produktion mit großen Risiken verbunden ist, der laut Vertrag zu Tod, Krankheit und Behinderung führen kann, wird von der EMA bedingt zugelassen und in weiterer Folge Alten, Kranken, Gesunden, Kindern, Babys und Schwangeren geimpft. ▪️ Der Impfstoff wurde weltweit sage und schreibe 4,6 Milliarden Mal injiziert. ▪️ Um es kurz und prägnant zu formulieren: die EU-Kommission und die Europäischen Regierungen logen, dass sich die Balken bogen, und degradierten skrupellos alle Geimpften zu wandelnden Versuchskaninchen. ▪️ Jedem Geimpften muss jetzt klar sein, dass den Politikern in den Regierungen von Anfang an klar war, dass der Impfstoff alle möglichen Folgen bis hin zum Tod auslösen kann und dass die Langzeitfolgen nach wie vor nicht abzusehen sind. ▪️ Wir wissen nicht, was mit den Geimpften langfristig passieren wird. Wir sehen nur, dass immer mehr Meschen sterben, immer mehr Menschen krank sind und beispielsweise die Krebserkrankungen explodieren. ▪️ Laut neuesten Publikationen starben weltweit bereits bis zu 17 Millionen Menschen wegen der COVID-19-Impfungen. Die verantwortungslosen Politiker sind Mitschuld an Tod und Krankheit unzähliger Menschen weltweit. Sie haben mit den COVID-19-Impfungen die Büchse der Pandora geöffnet, und nun breiten sich Krankheit, Tod und Übel über die Menschheit aus.Die ganze umfangreiche Analyse von Dr. Strasser hier lesen: 🍷🍾Für mehr Infos bitte abonnieren🧠 🍷🍾Für mehr Artikel  bitte abonnieren🍾🍷"
